sample_id,paragraph_id,asset_id,asset_name,label,project_ids,section_path,text
training-20260915-s1,34338772:p00689,access_connectivity,Access and connectivity,,P180495|P180693|P502532|P505095,ANNEX 6,"• Extending fiber backbone coverage will help to reduce the size of the microwave backhauling network for backbone connectivity and last mile and will result in a significant reduction in GHG emissions associated with the data traffic, as optical fiber is two to three times more efficient than microwaves for backhauling, allowing power savings from 54 to 94 percent on the backhaul deployment in a 4G scenario. 76 The new construction of national backbone and last-mile network will also deploy energy efficient fiber optic technology, which is the best available (that is, most energy efficient) technology in Angola and also significantly more energy efficient than the copper cables, which still exist in the country."
training-20260915-s1,34394311:p00139,submarine_cable,Submarine cable,,P176317,II.B,"32. This component is strategically designed to implement and finalize the remainder of the NFB and support full operationalization of the entire NFB network. The Project is using an integrated infrastructure planning approach by leveraging NGCP's existing investments. The NBP envisions utilizing the two cores of fiber optic network to establish a robust fiber backbone connecting the two international landing stations in the North and the South. Activities associated with this Project, as illustrated in Figure 3, involve activating two dark fibers at 37 substations and constructing 37 DICT climate-resilient/weather-proof equipment shelters in proximity to the substations (see Annex 3 for details). Moreover, the Project requires the installation of a total of approximately 32 km of underground Fiber Optic Cable (FOC) with climate- proof conduit systems to establish connections between the substations and the DICT equipment shelters (powered by renewable energy sources like solar/wind)."
training-20260915-s1,40087727:p00252,access_connectivity,Access and connectivity,,P500628,III.B,"66. Submarine cable-related activities, under Subcomponent 2.2, will be implemented through private sector-led SPVs in Liberia and Sierra Leone, with private partners as majority shareholders and government equity participation financed under the project. The SPVs will hold the responsibility for implementation of submarine cable and related activities, including marine segments, landing stations, and associated infrastructure. Procurement governance, accountability, and operating arrangements for SPVs will be set out in the SPV Operations Manual which shall be cleared by the World Bank, and procurement capacity and systems assessment will be conducted once each SPV has been incorporated and operational to confirm the compliance with World Bank's Core Procurement Principles."
training-20260915-s1,32159893:p00363,cybersecurity,Cybersecurity,,P167543,ANNEX 1,"a. infrastructure-mapping and service-mapping, with the current status of the digital infrastructure itself (i.e. mobile sites, power electricity availability, backhauling availability) and the service availability (i.e. 2G, 3G and 4G availability, bandwidth, retail prices);"
training-20260915-s1,33602788:p00249,cybersecurity,Cybersecurity,,P173373,II.B,"42. This sub-component will strengthen the GoR's capacity to mitigate risks associated with the expansion of digital public services by enhancing its capabilities to detect, prevent, respond, mitigate, and recover from cybersecurity attacks as well as manage data protection. It will support the development of a robust enabling environment through strengthened cybersecurity institutional and policy frameworks, technical and operational capabilities, as well as cyber skills development for a trusted online transactions environment and the security and resilience of digital infrastructure and systems. It will also lay the foundations for safeguarding data protection in compliance with forthcoming legislation passed by Parliament, by supporting the establishment and operationalization of a Data Protection Office (DPO). Key activities to be financed include:"
training-20260915-s1,31747152:p00503,drm_ews,Disaster risk management and early warning,,P167183,ANNEX 2,"13. Legal framework for cybersecurity. Nigeria has a Cybercrime Act (2015) which aimed to also cover issues related to cybersecurity. However, a legislative review, conducted in 2018, found that this combined legislation does not provide for sufficient treatment of cybersecurity and recommended that Nigeria consider maintaining separate laws for each of these areas. It further recommended that amended cybersecurity legislation should clearly state the penalties for breaches of obligations by CNII holders rather than empowering the respective sectorial regulators—not all of which are yet in place—to define the penalties for cybersecurity breaches in their sector and potentially cause misalignment of penalties across sectors. An amended law should also define the time line for the reporting of cybersecurity incidents, contain provisions for requiring cybersecurity service providers and products to be licensed, and establish clear powers of the national CERT to prevent and investigate cybersecurity breaches. The amended cybersecurity legal framework should also set standards for IT security of government information systems and databases."
training-20260915-s1,32108178:p00279,cybersecurity,Cybersecurity,,P171528,III.A,"(b) Grenada: A dedicated PIU has been established in the Ministry of National Security, Public Administration, Home Affairs, and ICT for implementation of all digital transformation projects. Project financing will be utilized to augment existing capacity of the PIU or other supporting units as needed. The Central Procurement Unit of the Ministry of Finance will be responsible for procurement support under the project and the Accountant General's office will be responsible for FM. Environmental and Social Safeguards oversight will be managed by the central unit covering all World Bank-financed projects. The Permanent Secretary of Public Administration, Ministry of National Security, Public Administration, Home Affairs, and ICT will undertake coordination responsibilities for project implementation until a full-time project manager is recruited."
training-20260915-s1,33753850:p00253,data_hosting,Data hosting,,P174620,II.B,45. The project will support:
training-20260915-s1,33819612:p00269,drm_ews,Disaster risk management and early warning,,P177040,VII,"Project Development Objectives(s) To enhance the competitiveness of the broadband market, to improve identification for in-person and online service delivery, and to leverage digital technologies, data, and analytics for climate resilience"
training-20260915-s1,40013198:p00272,dpi,Digital public infrastructure,,P171099,VII,Subcomponent 1.3: Improved institutional structure and capacity (US$0.15 equivalent). Capacity Strengthening for For Official Use Only
