reference_measure_id,measure_name,definition,direction,version
REF001,Ensure cybersecurity of digital payment platforms and mobile money rails,"Protect payment switches, mobile money platforms, and interbank systems from cyber threats that could disrupt access to funds during crises. Includes penetration testing, security operations centers, incident response protocols.",resilience_of_asset,v1
REF002,Build redundancy in payment processing infrastructure with backup and failover systems,"Backup payment processing centers, mirror databases, and automatic failover so G2P transfers and mobile money continue if primary systems fail.",resilience_of_asset,v1
REF003,Strengthen mobile money agent network resilience for cash-out during disruptions,"Agent networks continue operating when infrastructure is degraded - agent liquidity management, portable POS with offline capability, geographic diversification.",resilience_of_asset,v1
REF004,Protect digital land registries and property records from data loss,"Digitized land titles, cadastral records and property databases backed up and recoverable after disasters.",resilience_of_asset,v1
REF005,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,Rapid cash transfers to affected populations using pre-registered beneficiary databases and digital payment channels.,digital_for_resilience,v1
REF006,"Enable digital credit, savings, and microinsurance products to build household liquidity buffers",Accessible digital financial products helping households and small firms accumulate savings and access credit before shocks.,digital_for_resilience,v1
REF007,Scale mobile money for post-disaster person-to-person remittances,Leverage existing mobile money networks for informal transfers between households during and after crises.,digital_for_resilience,v1
REF008,Digitize land registries and property records to protect asset ownership through crises,Convert paper land titles and cadastral records to digital systems enabling verification of property rights after disasters.,digital_for_resilience,v1
REF009,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,Safeguards for personal and financial data collected through social registries.,resilience_of_asset,v1
REF010,Design interoperability and portability standards for digital financial services,Prevent beneficiary lock-in to single payment providers.,resilience_of_asset,v1
REF011,Address algorithmic fairness and gender exclusion risks in social protection targeting systems,Audit frameworks ensuring digital targeting systems do not systematically exclude vulnerable populations.,resilience_of_asset,v1
REF012,Establish financial consumer protection frameworks for digital lending during crises,Safeguards against predatory digital lending practices that surge during economic shocks.,digital_for_resilience,v1
REF013,Build redundant communication networks with satellite backup and diverse routing for early warning dissemination,"Warning messages reach populations even if primary telecom is damaged. Satellite backhaul, mesh networks, multi-path fiber routing.",resilience_of_asset,v1
REF014,"Harden weather monitoring sensors, IoT devices, and satellite ground stations against physical hazards","Protect weather stations, river gauges, seismic sensors, satellite ground stations. Flood-proofing, battery backup, vandalism-hardened housings.",resilience_of_asset,v1
REF015,Deploy satellite-based telemetry as backup for hydromet observation networks,Supplement GSM-dependent data transmission from remote weather stations with satellite telemetry.,resilience_of_asset,v1
REF016,"Deploy multi-channel early warning dissemination combining cell broadcast, SMS, apps, and radio",Reach populations through multiple channels to maximize coverage and redundancy.,digital_for_resilience,v1
REF017,Build agromet advisory platforms delivering weather-indexed farming guidance via digital channels,Combine weather forecasts with agricultural knowledge to deliver crop-specific advisories.,digital_for_resilience,v1
REF018,Implement real-time environmental monitoring using earth observation and ground sensor networks,"Satellite imagery, drone data, ground sensors for continuous monitoring.",digital_for_resilience,v1
REF019,Build decision support systems for anticipatory action integrating multiple data sources,"Platforms combining exposure databases, sensor networks, forecasts and hazard models for proactive decision-making.",digital_for_resilience,v1
REF020,Deploy flood forecasting models using hydrological and meteorological data,Operationalize numerical weather prediction and hydrological models converting observation data into flood forecasts.,digital_for_resilience,v1
REF021,Deploy crowdsourced disaster reporting and social media monitoring for situational awareness,Citizen reports and community-based sensors supplementing formal monitoring.,digital_for_resilience,v1
REF022,Establish verified official communication protocols to counter misinformation during crises,Institutional frameworks for official messaging and content verification during emergencies.,digital_for_resilience,v1
REF023,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,"International CAP standard ensuring alerts are machine-readable across SMS, cell broadcast, TV and radio.",resilience_of_asset,v1
REF024,Create open data standards and sharing agreements for hazard and exposure data across agencies,"Interoperability of hazard, vulnerability and exposure datasets across agencies.",digital_for_resilience,v1
REF025,Implement sovereign parametric insurance using satellite and sensor triggers for rapid payouts,Sovereign risk pools with automatic payouts triggered by measurable parameters.,digital_for_resilience,v1
REF026,Deploy index-based agricultural insurance using earth observation data for farmer-level payouts,"Payouts triggered by satellite-observed rainfall, vegetation indices or temperature thresholds.",digital_for_resilience,v1
REF027,Design Cat DDO trigger mechanisms linked to digital connectivity and data infrastructure,Connect data infrastructure to Catastrophe Deferred Drawdown Option trigger design.,digital_for_resilience,v1
REF028,Deploy rapid post-disaster damage and loss assessment using earth observation and remote sensing,"Satellite imagery, drone surveys and crowdsourced data to accelerate damage assessment for insurance claims and relief allocation.",digital_for_resilience,v1
REF029,Deploy rapid post-disaster damage and loss assessment using earth observation and remote sensing (infrastructure),"Same capabilities used for infrastructure damage mapping - roads, bridges, power lines, telecom - enabling faster repair prioritization.",digital_for_resilience,v1
REF030,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,Ensure trigger thresholds do not systematically exclude vulnerable populations.,digital_for_resilience,v1
REF031,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,Independent arbitration when parametric trigger outcomes are contested.,digital_for_resilience,v1
REF032,Harden telecom towers and base stations against physical hazards,"Reinforce towers for wind and seismic resistance, elevate equipment above flood lines, deploy hardened shelters.",resilience_of_asset,v1
REF033,Build submarine cable redundancy through diverse routing,Second and third submarine cable connections with geographically diverse routes.,resilience_of_asset,v1
REF034,Design ring and mesh fiber topology for national network resilience,Configure national fiber in ring or mesh topologies rather than linear spans so a break does not isolate downstream users.,resilience_of_asset,v1
REF035,Establish emergency power backup for critical digital infrastructure,"Battery banks, diesel and solar generators, hybrid renewable backup for cell towers, data centers and IXPs.",resilience_of_asset,v1
REF036,Upgrade and harden government data centers for disaster resilience,"Climate-resilient design - raised floors, flood barriers, redundant cooling, backup power, geographic separation.",resilience_of_asset,v1
