cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
projected_digital_for_resilience-c029,679,89,89,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2645,positioned uniquely collaborating afdb gained corporation twin wbg wealth convening ifc funded,31866282:p00106:c03:split-1|34310682:p00215:c03:split-1|33937854:p00311:c04:split-1|32321387:p00402:c05:split-1|34275965:p00145:c01:split-1
projected_digital_for_resilience-c131,603,102,102,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2615,pius piu spiu pit ciu unit expert staffed pcu focal coordinator assistant,33421881:p00191:c05:split-1|40081960:p00160:c04:split-1|40072597:p00144:c04:split-1|33191006:p00289:c05:split-1|34196134:p00197:c02:split-1
projected_digital_for_resilience-c122,588,107,107,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2088,unable likely yet cannot thus ability therefore able limited highly scope beyond,32108178:p00313:c08:split-1|34456824:p00061:c08:split-1|31747152:p00177:c10:split-1|40105675:p00051:c47:split-1|34397339:p00198:c02:split-1
projected_digital_for_resilience-c040,582,95,95,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.1849,seek reach respond needed identify take prepare continue need establish needs build,33815663:p00162:c04:split-1|32626249:p00370:c02:split-1|34201758:p00113:c07:split-1|34201758:p00094:c09:split-1|33937854:p00122:c07:split-1
projected_digital_for_resilience-c063,580,84,84,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.2988,trainer curricula trainees courses train mentorship trainers upskilling workshop employability learn tvet,34310682:p00193:c09:split-1|40028045:p00162:c05:split-1|34131348:p00220:c23:split-1|34049898:p00522:c03:split-1|34397339:p00337:c09:split-1
projected_digital_for_resilience-c007,542,90,90,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2749,attributions steering coordinator committee deputy secti mdt committees composition psc manager day,33107441:p00212:c04:split-1|40110459:p00383:c25:split-1|33835349:p00322:c02:split-1|32108178:p00605:c04:split-1|33345981:p00239:c02:split-1
projected_digital_for_resilience-c121,537,95,95,Use anonymized mobile network data for real-time population displacement tracking during disasters,digital_for_resilience,0.2892,resides square kilometers callao inhabitants lima population metropolitan districts half aged adult,34049907:p00636:c06:split-1|31866361:p00285:c11:split-1|33844146:p00137:c12:split-1|32626249:p00138:c02:split-1|34397339:p00099:c04:split-1
projected_digital_for_resilience-c016,529,113,113,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.1873,resolved discussed deemed reported awarded delivered deployed built created now found already,33830968:p00435:c14:split-1|33191006:p00330:c02:split-1|31866361:p00289:c13:split-1|33345981:p00163:c04:split-1|32971756:p00410:c11:split-1
projected_digital_for_resilience-c075,528,74,74,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.3814,nurture vibrant economy entrepreneurship conducive unlock generating productive smes entrepreneurs participate digitally,40072597:p00138:c13:split-1|32971756:p00283:c03:split-1|33107441:p00231:c16:split-1|31338295:p00132:c10:split-1|33812956:p00130:c04:split-1
projected_digital_for_resilience-c104,524,111,111,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.2879,tranche denominated ceiling retroactive replenishment loan das da proceeds forecast dfil fa,34310682:p00289:c05:split-1|33813209:p00298:c06:split-1|40028045:p00181:c02:split-1|34295403:p00105:c07:split-1|33786588:p00502:c03:split-1
projected_digital_for_resilience-c005,523,82,82,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.2810,donga bordering sud gambela borgou collines somali bangui kp peace mali tigray,34194833:p00165:c02:split-1|40052992:p00203:c03:split-1|34338772:p00127:c04:split-1|33191006:p00128:c01:split-1|33937854:p00518:c08:split-1
