cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
projected-c134,825,114,114,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.1951,discussed introduced delivered built adopted created developed made actions set agreed used,31747152:p00249:c04:split-1|40087727:p00209:c06:split-1|32971756:p00410:c11:split-1|32971756:p00411:c03:split-1|33812956:p00200:c08:split-1
projected-c060,751,116,116,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2750,subcomponents removal focuses ce designing outreach undertaken planned specifically supports following intermediate,33191006:p00368:c10:split-1|33107441:p00598:c01:split-1|31338295:p00330:c10:split-1|31167658:p00239:c01:split-1|34440132:p00046:c01:split-1
projected-c004,714,115,115,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2353,ncs figure note cs space net step pdo table da actions open,31167658:p00278:c01:split-1|33753850:p00347:c01:split-1|40072597:p00197:c04:split-1|40017533:p00206:c02:split-1|31866361:p00305:c05:split-1
projected-c008,674,105,105,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.2821,analog moitt subcomponents blocks ditjen enablers reinforce dukcapil analytics supports mile cybersecurity,40099485:p00039:c02:split-1|33706639:p00226:c19:split-1|33345981:p00210:c03:split-1|40017533:p00204:c11:split-1|34370345:p00082:c14:split-1
projected-c129,651,105,105,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.3630,esms ehsgs esmps esmp ess1 ess5 esia esmf ehs generic ess10 esias,33107441:p00280:c03:split-1|33053299:p00186:c18:split-1|34192090:p00047:c01:split-1|34350724:p00051:c33:split-1|33345981:p00320:c05:split-1
projected-c091,614,71,71,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.3906,labeling star surpass jrc pue recycle wind battery lighting renewable energy ee,40028045:p00189:c18:split-1|31889872:p00185:c03:split-1|34204848:p00157:c08:split-1|34428613:p00357:c25:split-1|34460895:p00189:c09:split-1
projected-c127,605,93,93,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2561,piu coordinators pius expert coordinator staffed unit assistant specialists recruitment deputy recruiting,33421881:p00191:c05:split-1|40081960:p00160:c04:split-1|40072597:p00144:c04:split-1|33421881:p00212:c07:split-1|33191006:p00289:c05:split-1
projected-c238,582,62,62,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5107,thailand identif cate honduran nationals rrs rbpp sin underpinned nigerian id4d id,33191006:p00211:c01:split-1|31747152:p00275:c04:split-1|33812956:p00196:c04:split-1|40110459:p00326:c02:split-1|34204848:p00207:c01:split-1
projected-c079,566,83,83,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.3697,curricula courses curriculum learn train mentorship nrens trainers learning professional weblabs teachers,40028045:p00162:c05:split-1|34429409:p00167:c07:split-1|31866361:p00413:c04:split-1|34310682:p00193:c09:split-1|34397339:p00337:c09:split-1
projected-c120,563,86,86,Deploy digital tools for climate-adapted livestock management and pastoral early warning,digital_for_resilience,0.3098,blockchain digitalize technologies transformation solutions digitized emerging digitalization adopt tools leveraging latest,33835349:p00233:c04:split-1|33753850:p00205:c05:split-1|33118666:p00173:c10:split-1|32527137:p00132:c03:split-1|32971756:p00154:c02:split-1
projected-c268,560,78,78,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.2222,bordering borgou landlocked monrovia coastline mali gold port coast bangui neighbors history,33191006:p00128:c01:split-1|31167658:p00117:c10:split-1|34194833:p00165:c02:split-1|40052992:p00203:c03:split-1|40115059:p00663:c08:split-1
projected-c104,558,100,100,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2673,overdue ofag unqualified opinions variances opinion outstanding audit auditor afs gac audited,32159893:p00551:c04:split-1|34049907:p00357:c04:split-1|33786588:p00475:c09:split-1|33830968:p00385:c05:split-1|34196069:p00316:c07:split-1
projected-c050,555,84,84,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.3454,acquire skills competency earnings curriculum competencies academy equip literacy advanced talent soft,33830968:p00155:c03:split-1|34456824:p00034:c04:split-1|33107441:p00435:c16:split-1|34460895:p00177:c02:split-1|34429409:p00200:c05:split-1
projected-c027,551,96,96,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2796,whr suw equivalent unguaranteed ibrd million ida indicative enablers analog eur enabling,40109413:p00254:c11:split-1|33835348:p00212:c01:split-1|33985963:p00190:c27:split-1|34428613:p00137:c18:split-1|33118666:p00202:c02:split-1
projected-c048,542,101,101,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3176,moderate rated residual rating substantial sort assessed classified risk macroeconomic ratings deemed,33835349:p00282:c01:split-1|31338295:p00244:c01:split-1|33985963:p00353:c01:split-1|33862093:p00306:c01:split-1|40072597:p00216:c01:split-1
projected-c125,535,79,79,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.3677,nurture vibrant economy unlock dynamic foster startups entrepreneurship participate catalyze grow ecosystem,40072597:p00138:c13:split-1|32971756:p00283:c03:split-1|31338295:p00132:c10:split-1|33107441:p00231:c16:split-1|33812956:p00130:c04:split-1
projected-c056,526,75,75,Address algorithmic fairness and gender exclusion risks in social protection targeting systems,resilience_of_asset,0.3743,stereotypes careers childcare unequal male tend females disproportionately traditionally norms women men,40080119:p00091:c09:split-1|40042661:p00241:c09:split-1|33118666:p00376:c07:split-1|34254903:p00085:c22:split-1|34196134:p00137:c08:split-1
projected-c156,518,64,64,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.4711,biometrics identifier deduplication id credential kyc sdid credentials biometric recognition smartphone signatures,40105151:p00057:c16:split-1|33815663:p00245:c12:split-1|31747152:p00135:c02:split-1|33345981:p00196:c04:split-1|40052992:p00179:c12:split-1
projected-c277,514,81,81,Develop and regularly test government ICT business continuity and disaster recovery plans,resilience_of_asset,0.3717,dto whole transforming egovernment direction moving transformation prioritization govtech blocks digitization importance,31338295:p00323:c01:split-1|34394311:p00169:c06:split-1|31866361:p00268:c02:split-1|33862093:p00244:c08:split-1|40110522:p00053:c09:split-1
projected-c217,511,74,74,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.3569,expand underserved broadband affordable unserved extend lagging affordability speed rural coverage deploy,40022182:p00060:c08:split-1|33786588:p00182:c09:split-1|34022655:p00155:c02:split-1|33602788:p00191:c02:split-1|33835348:p00189:c02:split-1
