cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
raw_resilience_of_asset-c025,602,77,77,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6312,unserved underserved lagging extend broadband mile affordable expand speed settlements rural last,40022182:p00060:c08:split-1|33786588:p00182:c09:split-1|33786588:p00199:c06:split-1|34022655:p00155:c02:split-1|32321387:p00183:c06:split-1
raw_resilience_of_asset-c004,562,85,85,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.6583,benavidez servers tier hpc arsat datacenters cooling computing room server nodes center,34338772:p00725:c03:split-1|33937854:p00297:c04:split-1|34338772:p00241:c04:split-1|34428613:p00137:c14:split-1|34310682:p00191:c03:split-1
raw_resilience_of_asset-c008,535,83,83,Establish disaster recovery sites and government cloud resilience for continuity of digital services,resilience_of_asset,0.5494,whole dto direction transformation roadmap moving foundations blocks lay government agenda digitizing,31338295:p00151:c02:split-1|32093931:p00145:c02:split-1|33602788:p00265:c04:split-1|33753850:p00254:c09:split-1|33118666:p00254:c10:split-1
raw_resilience_of_asset-c102,519,77,77,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6416,backhauling copper microwave ftth optics optical leo lte fttp backhaul optic fiber,34397339:p00385:c11:split-1|34338772:p00127:c06:split-1|40113005:p00045:c16:split-1|40045816:p00175:c11:split-1|31866361:p00159:c08:split-1
raw_resilience_of_asset-c074,515,66,66,Establish infrastructure sharing and emergency roaming policies between telecom operators,resilience_of_asset,0.6038,safaricom kt mnos discriminatory incumbent monopoly uzbektelecom opposition mtn roaming ethio isp,31167658:p00555:c03:split-1|33844146:p00208:c16:split-1|34228623:p00148:c17:split-1|33107441:p00187:c13:split-1|32971756:p00141:c11:split-1
raw_resilience_of_asset-c143,514,113,113,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.3552,mentioned step indicator table using operators pdo set number used based system,33753850:p00347:c01:split-1|33421881:p00196:c13:split-1|31167658:p00278:c01:split-1|33937854:p00185:c08:split-1|31167658:p00440:c07:split-1
raw_resilience_of_asset-c134,499,85,85,Establish national cybersecurity frameworks and CERTs for critical digital infrastructure,resilience_of_asset,0.6974,cyberthreats cyberattacks certs cii threats cyber cybersecurity csirt breaches defense cybercrime incident,34049898:p00223:c03:split-1|33844146:p00154:c02:split-1|33107441:p00168:c13:split-1|33118666:p00254:c19:split-1|40095037:p00184:c07:split-1
raw_resilience_of_asset-c066,490,95,95,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3445,ga ma room vii iv ii gb bcc iii mapping vi provisions,40045816:p00246:c01:split-1|34049898:p00269:c05:split-1|33819086:p00158:c17:split-1|40110459:p00404:c12:split-1|34388773:p00359:c07:split-1
raw_resilience_of_asset-c091,484,126,126,Establish data protection standards for emergency beneficiary targeting and cross-agency data sharing,resilience_of_asset,0.3080,archived became declared dated scheduled july october january september february june december,34196069:p00136:c06:split-1|40077325:p00051:c02:split-1|34228859:p00026:c04:split-1|34370345:p00031:c09:split-1|33985963:p00358:c12:split-1
raw_resilience_of_asset-c108,477,96,96,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.3401,effort able continue require need planned special expected allow updated made facilities,34131348:p00320:c24:split-1|31747152:p00515:c11:split-1|34338772:p00218:c19:split-1|33107441:p00299:c03:split-1|33812956:p00303:c10:split-1
raw_resilience_of_asset-c142,474,101,101,Build resilient ICT and redundant communications for emergency operations centers,resilience_of_asset,0.4604,urgency numbers activation calls call pcu mtc cscs emergency rcip cerc official,40045816:p00291:c03:split-1|34460895:p00164:c10:split-1|31889872:p00237:c11:split-1|40045816:p00206:c13:split-1|33118666:p00213:c02:split-1
raw_resilience_of_asset-c054,471,73,73,Design ring and mesh fiber topology for national network resilience,resilience_of_asset,0.6036,foc duct station shelters principe landing underground tower linear carrier aerial length,40042661:p00158:c06:split-1|33602788:p00331:c07:split-1|33786588:p00205:c02:split-1|34394311:p00142:c06:split-1|33345981:p00190:c17:split-1
raw_resilience_of_asset-c009,468,64,64,Address algorithmic fairness and gender exclusion risks in social protection targeting systems,resilience_of_asset,0.4396,underrepresented boys prevalence pregnancy males versus parity unemployment tertiary pronounced force men,32971756:p00128:c01:split-1|33815663:p00166:c04:split-1|33191006:p00124:c01:split-1|32971756:p00666:c01:split-1|34254903:p00085:c22:split-1
raw_resilience_of_asset-c063,464,86,86,Establish disaster recovery sites and government cloud resilience for continuity of digital services,resilience_of_asset,0.6390,cloud computing hybrid govtech govnet migration hosting enterprise architecture securely shared unified,31866361:p00182:c01:split-1|33835348:p00493:c02:split-1|32971756:p00525:c08:split-1|33191006:p00202:c04:split-1|40115059:p00669:c03:split-1
raw_resilience_of_asset-c022,455,99,99,Design Cat DDO trigger mechanisms linked to digital connectivity and data infrastructure,digital_for_resilience,0.2580,able yet therefore ability important likely used contribute addition expected one however,33830968:p00261:c10:split-1|31866361:p00373:c04:split-1|34222788:p00127:c03:split-1|40095037:p00145:c24:split-1|33812956:p00187:c19:split-1
raw_resilience_of_asset-c046,455,91,91,Design digital inclusion safeguards ensuring crisis response reaches populations without connectivity or devices,resilience_of_asset,0.5406,technologies transformation increasingly importance emerging enablers digitalization digital digitally foundations role leverage,33753850:p00282:c03:split-1|33753850:p00205:c05:split-1|32527137:p00132:c03:split-1|33844146:p00158:c09:split-1|32108178:p00797:c05:split-1
