sample_id,unit_id,unit_type,stratum,text,text_sha256
training-20260915-s1,31167658:p00199,paragraph,random,"• Finally, the project will contribute to Objective 7: Building resilience at the community level. Unpredictable weather patterns, unreliable pricing information and crop failure due to diseases are a few of the issues that digital services could tackle in Benin. The project will directly support the objective of improving resilience to these shocks by promoting digital solutions that will enhance the ability of smallholder farmers to anticipate and mitigate the impacts of adverse events.",a9576b525a70305b9e87aa1cae11b0fb88aa0e1a6578e3c10640a5df4e564f52
training-20260915-s1,31167658:p00524,paragraph,random,• Development of digital applications and services for agriculture;,09e089ee9d09890389dfc7a361cf5425df8e209489bf9987390c6e2ea317a87c
training-20260915-s1,31167658:p00551,paragraph,near|mobile_towers,"(i) infrastructure-mapping and service-mapping, with the current status of the ICT infrastructure itself (i.e. mobile sites, power electricity availability, trackway access, backhauling availability) and the service availability (i.e. 2G and 3G availability, bandwidth, retail prices). The mapping will include the climate change dimension by highlighting those pockets in the project areas that are highly susceptible to climate changes in future. This activity will consult with Operators and MENC on best options for the provisioning of rural electricity as part of connectivity solutions and also explore synergies with other related projects from the Energy sector;",78a068f36c868e823f4708f69ee609914c57ebfbba6fa9512d793bd7d02b5359
training-20260915-s1,31167658:p00571,paragraph,near|mobile_towers,"(ii) The type of wireless network access infrastructure to be supported by the public funds, which can consist of: passive telecom towers to facilitate the deployment of active mobile antennas by mobile network operators; a fully active Radio Access Network deployed by a mobile network operator, who provides a local roaming access to other mobile network operators; low-cost 'microsite' alternative deployed by third-parties for rural areas targeted by the project who then sell their services to mobile network operators; other types of wireless access such as satellite access.",cf4ce8cef7adde751b18d9eae760dab02700437d94a9ea2aa1c689a53c0a1646
training-20260915-s1,31167658:p00647,paragraph,near|mobile_towers,"• On the supply-side (cost). To ensure the coverage of the offline population in the northern region (approximately 1.87 million inhabitants), the project foresee the deployment of 380 fully operational sites, each site covering around 2,500 inhabitants on average and costing US$200,000 for installation and commissioning (CAPEX). The RAN infrastructure will consist of both passive and active components. The passive components include land acquisition and preparation, structure deployment (50-metre lattice tower), shelters, and power solution with solar panels or generators; active components include 2G/3G-ready active equipment, and backhaul to connect to the core network infrastructure, including installation and commissioning. The operation expenditures (OPEX) are evaluated as a percentage of the CAPEX and represent 18 percent of the cumulated CAPEX. OPEX include land and structure maintenance and site security with decentralized and local staff, backhaul fees, power generator or solar panel maintenance and use of deep-cycle batteries.",5c6db34550538da4f4e922cac98de3254609b92ff803c89994af59df0cb169fd
training-20260915-s1,31338295:p00161,paragraph,near|dpi,"21. Together with the digitization of key government records, three cross-cutting digital platforms that constitute the building blocks for the development of a WoG digital government platform are selected for delivery under this component:",ac4341c722580c6fec82d97deea8761221f91958ccdffaec89d4ebd59c7eb9f4
training-20260915-s1,31338295:p00285,paragraph,near|dpi,"8. This component also will finance activities for the design, deployment, and operation of the cross-cutting platforms to enable digital service delivery. The EA will serve as the basis for the design and implementation of these platforms. These unified and common platforms - sometimes referred to as ""back-end systems"" - can be used across multiple entities. As such, they constitute the building blocks for the delivery of a wide range of e-services. They also underpin the continued and effective delivery of the critical administrative functions of a government during normal times and in the aftermath of a disaster. Three platforms are selected for delivery under this component: an electronic payment system; a single sign-on digital identifier platform; and a spatial data platform.",fb92f4038c56fb400614554b64282ed920a4e32129e702f18dea89fbb66da7d4
training-20260915-s1,31338295:p00287,paragraph,near|dpi,"10. Single Sign-on Digital Identifier Platform. The facility for digital identification of users constitutes the backbone for the provision of e-government services as they allow safe, secure and legally verifiable access to these services. This facility creates the legal foundations for the validation of contractual and non-contractual interactions between the government and citizens. Digital identification allows governments to move services online, resulting in improvements in efficiency, productivity, and user satisfaction. In a post-disaster situation, this facility is critical to facilitate the transactions to which citizens typically need access (e.g. social transfers and citizen records such as deeds and birth certificates). Grenada currently has multiple and disparate systems for identification verification that impede ease of interaction with the government. The objective of this activity is to enable GOG to consolidate the different citizen identity systems that it currently employs into a unique, cloud-based digital identifier platform, which, together with the electronic payment system, will facilitate the provision of e-services that require authentication and authorization.",30d6c3aa9bde1331f9a4c7d997aff1a74118660000d873af8c515bea1209600e
training-20260915-s1,31747152:p00203,paragraph,random,(b) No person eligible for enrollment shall be prevented from obtaining a NIN due to an inability to produce a physical breeder document.,8fd65a3ac125a189d6837f169731dc996f7282103ca2e6c60bf91c39a5e25856
training-20260915-s1,31747152:p00229,paragraph,random,"(k) Other privacy protection mechanisms that may enhance data protection and privacy of registrants and NIN holders are detailed in the following paragraphs, including in annex 2.",4feb0bede48f14e6b2a818992b173f03bc0d793cd7931aee2e412995812215dd
training-20260915-s1,31747152:p00235,paragraph,near|cybersecurity,"(iv) Subcomponent 2.4: Reinforcing information security and privacy. To strengthen the safeguarding of private data and ID systems, activities to provide the necessary information security and cybersecurity will be supported under the project. Security at the back end will be bolstered to appropriately protect the integrity of the database and personal data against breaches, attacks, and human/physical vulnerabilities. The project will establish information security and cybersecurity compliance standards, conduct privacy audits and information technology (IT) security audits and maintain certifications, reinforce cybersecurity capacity and establish a National Identification Sectorial Computer Emergency Response Team (ID- CERT) with a Security Operations Center (ID-SOC), reinforce Public Key Infrastructure (PKI) for ID, and provide capacity building on information security.",9fc63c640db384715f8a7aeccc4137c0e88888a322b7a406604a363c764509c4
training-20260915-s1,31747152:p00371,paragraph,random,111. The overall risk for the operation is High. The systematic operations risk rating tool (SORT) in the datasheet of this document presents programmatic risks by category. Primary risks arise from (a) unstable politics and governance; (b) sector strategies and policies related to IDs; (c) technical design; (d) low institutional capacity for implementation; and (e) fiduciary factors.,31ef4b959c39ee809c98fff76ae3cc5e960f46a00d98d14c045d0d49034e75bb
training-20260915-s1,31747152:p00503,paragraph,random,"13. Legal framework for cybersecurity. Nigeria has a Cybercrime Act (2015) which aimed to also cover issues related to cybersecurity. However, a legislative review, conducted in 2018, found that this combined legislation does not provide for sufficient treatment of cybersecurity and recommended that Nigeria consider maintaining separate laws for each of these areas. It further recommended that amended cybersecurity legislation should clearly state the penalties for breaches of obligations by CNII holders rather than empowering the respective sectorial regulators—not all of which are yet in place—to define the penalties for cybersecurity breaches in their sector and potentially cause misalignment of penalties across sectors. An amended law should also define the time line for the reporting of cybersecurity incidents, contain provisions for requiring cybersecurity service providers and products to be licensed, and establish clear powers of the national CERT to prevent and investigate cybersecurity breaches. The amended cybersecurity legal framework should also set standards for IT security of government information systems and databases.",afb651463aad6c5ab48a12a443552a93d13451818a3c4dbeca6e8b083ac4c26d
training-20260915-s1,31747152:p00524,paragraph,random,"23. This subcomponent will finance the reinforcement of the NIMS. Managed by NIMC, the NIMS, lies at the heart of the foundational ID ecosystem and provides a comprehensive database of all persons in Nigeria and all Nigerians abroad, with uniqueness guaranteed by biometrics. By linking with the digital CR system (at NPopC), the robustness, coverage and legal validity of the foundational ID ecosystem will be ensured in the long term. The NIMS will also support authentication of unique identity at the point of service delivery or client/beneficiary onboarding (see Component 3 for details.)",7aaa15cc8407b7541df5ec0a150f5c1305d012132604f8a2a6bbe3a72fe3c72a
training-20260915-s1,31747152:p00578,paragraph,random,Activity 2.3.5: Licensing and assurance of enrollment partners,b058d98218188390619cd6f95e744781601254d6b29a29e08db01b1b8e19c4dd
training-20260915-s1,31747152:p00715,paragraph,random,"(c) End line study to understand the development impacts of foundational ID on household economic and welfare outcomes. The final round of data collection will be geared toward measuring the development impacts of foundational ID once it is connected to other public and private systems, including the impacts on access to public and private services, social safety nets, financial inclusion, and so on, as well as downstream impacts on access to credit, jobs, income, and subjective well- being. The study will conduct heterogeneous analysis to measure the impacts on particular groups of interest including women, ethnic minorities, and the poor.",50b2d4770ebf61696fc8350b7f90d13757d65549dc2e1c8d229b95d5f39a99df
training-20260915-s1,31866361:p00137,paragraph,near|submarine_cable,"5. FSM has made substantial progress over the past decade to rollout new infrastructure and create the market conditions necessary to support investments in digital services. The passage of the Telecommunications Act of 2014 liberalized the telecommunications sector and removed the monopoly conferred on FSM Telecommunications Corporation (FSMTC) as the state-owned incumbent operator. The law also provided for the creation of the FSM Open Access Entity (OAE), also known as FSM Telecommunications Cable Corporation (FSMTCC), as a wholesale- only provider of backbone services. In addition, the law established the Telecommunication Regulation Authority (TRA) as the independent sector regulator. In terms of broadband infrastructure, with the support of the United States Rural Utilities Service (RUS), Pohnpei was connected via the HANTRU-1 submarine cable system in 2010. With the support of the ongoing World Bank FSM Connectivity Project (P130592), submarine cable systems now connect Yap (since mid-2018) and Chuuk (mid-2019). Work is also significantly advanced to connect Kosrae to the East Micronesia Cable (EMC) system, which is expected to enter service by mid-2021. The EMC system is a collaboration between FSM, Kiribati (financed by IDA) and Nauru (financed by the Asian Development Bank). FSM's IDA-financed submarine cable systems are owned and operated by the OAE. Access to capacity on the submarine cable systems is guaranteed on transparent, non-discriminatory and cost-based terms.",f0f7217af917e9286e7a014693f1cede955cbe2ca8ba928c0eec98a17822e789
training-20260915-s1,31866361:p00158,paragraph,near|drm_ews,"(i) sectoral planning tools informed by climate change and natural disasters; (ii) more climate resilient communications infrastructure; (iii) measures to strengthen the enabling environment to improve climate resilience; and (iv) contingent emergency response. The overarching objective is to improve the climate resilience of communications infrastructure, including early warning and emergency response systems. The Digital FSM project will contribute to improving disaster relief efforts by increasing the likelihood that communications are available in the aftermath of a disaster, helping Government, non-governmental organizations and first responders assess the impact and coordinate aid.",38db3438af42baf7888ab85d43fbce53f7690289dd6090d07bafab6d32633003
training-20260915-s1,31866361:p00257,paragraph,near|fiber|submarine_cable,"45. The access networks on Kosrae, Pohnpei, Chuuk and Yap require an upgrade to bring the high capacity bandwidth provided by the submarine cables to the end-users. The development of the access networks requires terrestrial fiber optic roll-out on each of the State islands. The core fiber optic network and drops to individual premises will be deployed by the OAE. The final connections delivering retail services for end users (government, business and homes) will be done by the service providers. The services providers will be responsible for customer relations, customer service, etc., and will access the wholesale fiber services from the OAE on an open access and non- discriminatory basis. The total cost for the FTTH rollout is estimated at US$8.8 million plus the costs of transport of all materials to the four states and general project overhead to manage the contractors implementing the passive infrastructure. The indicative costs are calculated based on the anticipated mix of aerial and underground deployment (excluding transport and overhead) and the estimated costs that will be incurred by the OAE (core fiber network and individual drops) and the service providers (active infrastructure such as customer premises equipment (CPEs) and optical line terminals (OLTs) and passive splitters).",f7ee0cc8f63bd39759f173db275b5ff0e023ac0ccec90fcd77dbe6afcbedbfa4
training-20260915-s1,31866361:p00259,paragraph,near|mobile_towers,"46. The active infrastructure layer will be deployed and financed by the service providers. These costs include the modems, active optical equipment and installation costs to deliver services to customers as summarized in the following table.",a7f4ebbe38cf28a66e08f5e4cb29724575dec5dd34d2d3596587bafbedbdd333
training-20260915-s1,31866361:p00261,paragraph,near|fiber|submarine_cable,"47. The blend of underground and aerial infrastructure for terrestrial fiber optic infrastructure will be determined during the final technical design and specification of the bidding documents. Aerial infrastructure capital expenditures (CAPEX) costs are almost two times lower and OPEX costs are slightly lower compared to underground infrastructure. However, aerial infrastructure is more vulnerable to natural disasters. Natural disasters such as typhoons occur regularly in FSM. With 8,400 mm of precipitation per year, Pohnpei is also one of the wettest regions in the world. This climate can damage an aerial network. If a disaster happens, aerial infrastructure may be damaged leading to outages and significant replacement costs. However, underground infrastructure faces other risks as well. Uncontrolled digging can damage the cables while people will be careful to stay away from the aerial cables since they would be adjacent to the power lines. Repair of underground infrastructure is more costly and more time- consuming. Flooding is also a particular threat to underground fiber infrastructure. It is assumed that the core fiber on each of the main islands (Pohnpei, Yap and Kosrae) will be buried underground. The periphery of the networks, including drops to individual premises, will be aerial utilizing existing infrastructure, particularly existing poles for electricity distribution. The cost of the fiber drops to individual premises is a relatively small proportion of total costs, comprising approximately US$1.1M of the US$8.8M total needed to install the on-island fiber infrastructure.",6e4c37a91cfbcc91616f60c56f58428ea7591f5db51d6bd271873e45c616bb6f
training-20260915-s1,31866361:p00262,paragraph,near|mobile_towers,"48. The deployment of the terrestrial fiber networks will also make possible the rollout of LTE networks on a cost- efficient basis. The installation of the LTE networks 14 will be done by competing mobile operators. Existing towers can be shared and most of the new cell sites can be very simple pole/small mast type of sites. There is no need for the new deployment of costly large towers. Adding more small and simple cell sites using fiber optic fronthaul capacity supplied by the OAE is more efficient—and utilizing the wholesale only OAE network on an open access and non-discriminatory and cost basis reduces the problems commonly associated with regulating access to essential facility infrastructure owned and controlled by vertically integrated operators. Each operator will establish and maintain a mobile core network, which may be located either within FSM or elsewhere in the region to improve utilization and economies of scale. On each island a local LTE radio access network (RAN) will be required for access to end-user mobile services. The estimated cost of each LTE RAN is approximately US$1.9 million for all 4 States, which assumes operators use existing towers, small fill-in sites and an existing mobile core network.",beb57f890613a535a43f0c9d87a99c71b276dfd7fd730516b843d5a00bc75f7a
training-20260915-s1,31866361:p00269,paragraph,near|dpi,"54. An integrated Government digital platform will need to be developed to consolidate multiple independent systems. As part of the development of the Digital Government Strategic Framework, government will identify how to consolidate systems and the highest priority frontline digital services that could be deployed in the next 2-3 years. Business registration, land registration, social systems, taxation and education, for example, are not accessible online. The interface between these existing systems will need to be developed, particularly around common standards and coding to promote interoperability between datasets, in addition to the Government ICT architecture to support the more widespread and systematic rollout of digital services. Such architecture would provide common enablers needed by most electronic and mobile services such as identity authentication, business authentication, digital ID integration, content management, electronic payment services, data services, notification services etc. Using such enabling tools, government departments could potentially save 30-40 percent of the time needed for online service implementation and could reduce their overall ICT cost by 20-30 percent, based on experiences in other countries. As part of the development of the Digital Government Strategic Framework, government will identify its highest priority frontline services that could be deployed in the next 2-3 years.",34860667ad16d53664df4a1742c8cf5b8b0b4c4493032e6c1924509839f9af66
training-20260915-s1,31889872:p00190,paragraph,near|drm_ews,"30. The 911 Platform will also enable data analytics and planning of future emergency response, identification of high-risk areas, and potential solutions to reduce the risk of emergencies or disasters in the future. Furthermore, the project will promote the link to SISMATE through the establishment of protocols that will enable a better coordinated and efficient response in case of natural disasters or other crises.",92d6f7fbf338a32c79379a5eeee38e5db4b24300c071faa277fd27b8ede4ce7c
training-20260915-s1,31889872:p00194,paragraph,near|fiber,providers through already deployed underground fiber-optic cables and will include alternative and redundant routes.,b4fa62c505555b61845ed11de97ea82c18bd3d69a67c22d09acf95efa9295081
