cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
raw_digital_for_resilience-c034,799,121,121,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4590,drawdown tranches reimbursement dfil reimbursements deposited tranche disburse released replenishment advances disbursed,33706639:p00527:c09:split-1|34310682:p00289:c02:split-1|33421881:p00305:c01:split-1|33862093:p00413:c03:split-1|33107441:p00385:c09:split-1
raw_digital_for_resilience-c033,597,102,102,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3759,pius piu ciu unit staffed pit spiu expert coordinator housed deputy focal,33421881:p00191:c05:split-1|40081960:p00160:c04:split-1|40072597:p00144:c04:split-1|33191006:p00289:c05:split-1|34196134:p00197:c02:split-1
raw_digital_for_resilience-c005,594,96,96,Design social registries with dynamic expansion capability for rapid shock response,digital_for_resilience,0.2687,seek identify respond actions needed establish need used using based related use,33706639:p00406:c03:split-1|33815663:p00162:c04:split-1|32971756:p00337:c11:split-1|32321387:p00391:c04:split-1|40087727:p00209:c06:split-1
raw_digital_for_resilience-c003,588,125,125,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4272,tf sdr aiib undisbursed xof sdc eur ibrd disbursed unguaranteed stood amount,34196069:p00240:c10:split-1|34388773:p00175:c03:split-1|34388773:p00170:c03:split-1|34460895:p00120:c02:split-1|34022655:p00351:c02:split-1
raw_digital_for_resilience-c114,561,120,120,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.5380,p167543 p177158 p171034 p132824 p160533 p175987 p171099 p173373 p160418 p176181 p174946 finisa,33835348:p00166:c01:split-1|40100544:p00155:c09:split-1|33602788:p00177:c01:split-1|34049907:p00180:c01:split-1|34388773:p00136:c08:split-1
raw_digital_for_resilience-c103,536,113,113,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3705,indicator pdo note linked summary risa gog da ppsd original mdas operation,40072597:p00197:c04:split-1|33786588:p00344:c01:split-1|40034360:p00118:c01:split-1|33862093:p00289:c02:split-1|31866361:p00305:c05:split-1
raw_digital_for_resilience-c145,535,79,79,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.4141,trainer curricula employability trainees courses trainers graduates learn train curriculum workshop trained,34310682:p00193:c09:split-1|40028045:p00162:c05:split-1|34429409:p00167:c07:split-1|31866361:p00413:c04:split-1|34131348:p00220:c23:split-1
raw_digital_for_resilience-c116,529,115,115,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3399,parent introduced beyond original built involved associated defined previous scope developed closing,31747152:p00744:c05:split-1|40013198:p00190:c08:split-1|34310682:p00197:c04:split-1|40013198:p00215:c03:split-1|31866361:p00250:c04:split-1
raw_digital_for_resilience-c080,514,105,105,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4158,subcomponents ce outreach coordinated partner supports pcu evaluation planned grants specifically finally,33859017:p00052:c02:split-1|33191006:p00368:c10:split-1|34440132:p00046:c01:split-1|32527137:p00293:c08:split-1|40031410:p00050:c07:split-1
raw_digital_for_resilience-c017,512,81,81,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.5131,acquire equip earnings skills competencies curriculum advanced literacy talent academy trained specialized,34456824:p00034:c04:split-1|34460895:p00177:c02:split-1|33107441:p00435:c16:split-1|33830968:p00155:c03:split-1|34429409:p00200:c05:split-1
raw_digital_for_resilience-c053,508,114,114,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,digital_for_resilience,0.3464,validated deemed cleared stipulated awarded negotiations confirmed consulted discussed disclosed received reported,33830968:p00310:c13:split-1|40110459:p00333:c04:split-1|40105675:p00125:c08:split-1|34338772:p00290:c24:split-1|33191006:p00330:c02:split-1
raw_digital_for_resilience-c084,508,93,93,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3035,helped proven likely yet evidence able thus therefore ability lessons specifically possible,32108178:p00313:c08:split-1|34456824:p00061:c08:split-1|31747152:p00177:c10:split-1|34388773:p00248:c14:split-1|40028045:p00189:c05:split-1
raw_digital_for_resilience-c125,502,87,87,Deploy crowdsourced disaster reporting and social media monitoring for situational awareness,digital_for_resilience,0.4998,participatory citizen gather engagement feedback ce satisfied stakeholder stakeholders consultations outreach interested,34201758:p00162:c10:split-1|32321387:p00276:c18:split-1|33812956:p00300:c12:split-1|32321387:p00199:c08:split-1|40105151:p00062:c10:split-1
raw_digital_for_resilience-c068,495,93,93,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3432,lr bj ii iv iii vi ta survey indicator software pdo number,40081960:p00140:c05:split-1|32626249:p00257:c09:split-1|33835348:p00196:c01:split-1|33835348:p00219:c01:split-1|33835348:p00203:c01:split-1
raw_digital_for_resilience-c089,477,79,79,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.4952,accrual pefa syscohada fmis ipsas gifmis ifmis chart accounting documented recording budgetary,33753850:p00445:c04:split-1|33118666:p00444:c02:split-1|32108178:p00416:c01:split-1|31889872:p00399:c03:split-1|33937854:p00391:c02:split-1
raw_digital_for_resilience-c127,475,53,53,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5957,certificate passport documentary nins nationality holders nin minors uniqueness nip issuance kebele,33830968:p00153:c06:split-1|40081960:p00134:c07:split-1|34204848:p00319:c04:split-1|34204848:p00186:c10:split-1|40105151:p00171:c01:split-1
raw_digital_for_resilience-c051,473,93,93,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4661,sourced qualitative interviews ran sensitivity relies assess treatment evaluations analytical surveys baseline,34049907:p00349:c01:split-1|33830968:p00309:c01:split-1|40100544:p00176:c24:split-1|34397339:p00238:c06:split-1|34049898:p00315:c05:split-1
raw_digital_for_resilience-c098,473,106,106,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3746,ilap etb oc sequence expenditure expenditures amounts ncs budgeting ineligible budgeted incurred,31167658:p00452:c08:split-1|34429409:p00210:c06:split-1|32971756:p00416:c11:split-1|40081960:p00191:c21:split-1|33813209:p00308:c06:split-1
