cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
projected_resilience_of_asset-c036,612,104,104,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,resilience_of_asset,0.3380,reais euros brasil banco withdrawals deposited denominated dollars dfil opened segregated signatories,33862093:p00413:c03:split-1|33786588:p00512:c10:split-1|33421881:p00229:c18:split-1|34204848:p00298:c01:split-1|31338295:p00350:c01:split-1
projected_resilience_of_asset-c004,588,111,111,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.2242,adopted co planned developed set prepared expected,31747152:p00249:c04:split-1|34196134:p00147:c09:split-1|34307768:p00046:c13:split-1|32971756:p00411:c03:split-1|33812956:p00200:c08:split-1
projected_resilience_of_asset-c064,573,84,84,Develop and regularly test government ICT business continuity and disaster recovery plans,resilience_of_asset,0.2360,undermined lacks inconsistencies hindered siloed outdated fragmented inefficient absence weak cscs lack,33835349:p00141:c10:split-1|32971756:p00528:c06:split-1|33835349:p00154:c01:split-1|34327188:p00147:c09:split-1|33786588:p00146:c04:split-1
projected_resilience_of_asset-c071,555,87,87,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4127,ethics observe notices approaching thresholds paragraph procuring notice methods bids forth awards,33421881:p00233:c01:split-1|33421881:p00310:c01:split-1|33813209:p00328:c02:split-1|31167658:p00487:c17:split-1|34196134:p00232:c01:split-1
projected_resilience_of_asset-c069,533,84,84,Build submarine cable redundancy through diverse routing,resilience_of_asset,0.3594,nodes tier arsat ace length tower optical route microwave carrier hotel servers,34370345:p00031:c13:split-1|33844146:p00207:c04:split-1|33844146:p00306:c13:split-1|33118666:p00312:c06:split-1|34397339:p00385:c11:split-1
projected_resilience_of_asset-c085,512,76,76,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.3615,unserved divide underserved affordable lagging broadband expand speed universal affordability bridge expanding,40022182:p00060:c08:split-1|33602788:p00191:c02:split-1|33835348:p00189:c02:split-1|33786588:p00182:c09:split-1|34022655:p00155:c02:split-1
projected_resilience_of_asset-c090,506,95,95,Address algorithmic accountability in emergency resource allocation systems,resilience_of_asset,0.2838,overdue oag ofag audit outstanding audits reconciliation auditor moshe auditors auditing accountants,33786588:p00475:c09:split-1|33830968:p00385:c05:split-1|31167658:p00450:c01:split-1|33786588:p00513:c10:split-1|34203125:p00075:c01:split-1
projected_resilience_of_asset-c099,496,103,103,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.2836,tz rcip afap assigned hosted risa hired regularly cef brd rnp cs,33107441:p00562:c06:split-1|34194833:p00318:c05:split-1|33859017:p00029:c02:split-1|34310682:p00258:c21:split-1|33867703:p00069:c06:split-1
projected_resilience_of_asset-c082,488,102,102,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2175,overcome adapt avoid complete maintain able upgrade prevent operate allow prepare enable,34131348:p00266:c03:split-1|34275965:p00233:c05:split-1|31866361:p00148:c09:split-1|34228623:p00197:c02:split-1|31167658:p00627:c04:split-1
projected_resilience_of_asset-c065,487,93,93,Develop and regularly test government ICT business continuity and disaster recovery plans,resilience_of_asset,0.3180,rique num nation blueprint ambitious agenda recognizes vision advancing goal gou kiribati,34275965:p00148:c05:split-1|33815663:p00132:c04:split-1|31866361:p00204:c04:split-1|33191006:p00129:c15:split-1|33786588:p00359:c04:split-1
