cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
raw-c032,739,88,88,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.4964,skills equip acquire advanced competency earnings youths literacy talent soft pool trained,34460895:p00177:c02:split-1|34429409:p00200:c05:split-1|34456824:p00034:c04:split-1|33830968:p00155:c03:split-1|33107441:p00435:c16:split-1
raw-c037,667,118,118,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3444,tf totaling valued xof aiib amounting sdc unguaranteed billion worth counterpart million,33602788:p00490:c02:split-1|33602788:p00503:c04:split-1|33602788:p00462:c02:split-1|40109413:p00075:c02:split-1|33602788:p00455:c04:split-1
raw-c313,638,118,118,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.3517,abstract ncs nnle note cs space net step da gog table expected,31167658:p00278:c01:split-1|33753850:p00347:c01:split-1|40072597:p00197:c04:split-1|31866361:p00305:c05:split-1|33835348:p00141:c12:split-1
raw-c011,600,94,94,Implement digital platforms for port and maritime supply chain resilience,digital_for_resilience,0.4131,subcomponents focuses upstream reinforcing outreach supports eca coordinated partner census specifically following,32527137:p00293:c08:split-1|34440132:p00046:c01:split-1|33859017:p00052:c02:split-1|33191006:p00368:c10:split-1|33706639:p00279:c04:split-1
raw-c249,593,108,108,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.3982,mdap tz rcip operated risa wardip mtc park official pronatel page brd,33107441:p00562:c06:split-1|34228859:p00031:c04:split-1|33118666:p00212:c08:split-1|33844146:p00269:c11:split-1|34310682:p00305:c02:split-1
raw-c025,584,118,118,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.2691,resolved deemed removed received reported discussed taken delivered reviewed agreed found adopted,34307768:p00046:c13:split-1|33859017:p00029:c02:split-1|32971756:p00411:c03:split-1|33830968:p00435:c14:split-1|34338772:p00290:c24:split-1
raw-c111,578,56,56,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.6081,authenticate biometrics prove identifier authenticator credential credentials verifiable identities authentication identity verify,40105151:p00057:c16:split-1|31747152:p00161:c02:split-1|33191006:p00208:c18:split-1|33191006:p00241:c10:split-1|33815663:p00160:c07:split-1
raw-c261,576,104,104,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.3635,piu pius coordinators staffed augment spiu expert coordinator unit assistant recruitment specialist,40072597:p00144:c04:split-1|33421881:p00212:c07:split-1|33421881:p00191:c05:split-1|40081960:p00160:c04:split-1|33191006:p00289:c01:split-1
raw-c184,575,103,103,Adopt Common Alerting Protocol (CAP) for standardized multi-channel warnings,resilience_of_asset,0.2508,helps yet continue help contribute associated using one related use,31167658:p00625:c04:split-1|34222788:p00127:c03:split-1|33107441:p00267:c07:split-1|34327188:p00209:c07:split-1|31167658:p00546:c08:split-1
raw-c068,570,78,78,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6086,unserved lagging underserved broadband expand affordable speed extend extending bringing rural affordability,40022182:p00060:c08:split-1|33786588:p00182:c09:split-1|34022655:p00155:c02:split-1|34388773:p00115:c07:split-1|34228623:p00168:c02:split-1
raw-c172,565,80,80,Design ring and mesh fiber topology for national network resilience,resilience_of_asset,0.6019,pops satellites microwave lte wifi signal cellular connections connect satellite wireless backhaul,34049907:p00677:c02:split-1|33937854:p00442:c14:split-1|32108178:p00617:c12:split-1|33602788:p00495:c06:split-1|40045816:p00175:c11:split-1
raw-c291,561,98,98,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.2445,adapt prepare take reach complete travel respond make continue establish allow build,33815663:p00162:c04:split-1|31167658:p00254:c07:split-1|31338295:p00217:c11:split-1|34201758:p00113:c07:split-1|34275965:p00233:c05:split-1
raw-c047,560,101,101,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4495,dfil reimbursement lapsed disbursing method ceiling withdrawals released deposited reimbursements adb disbursement,32971756:p00414:c01:split-1|34327188:p00273:c07:split-1|34254903:p00231:c01:split-1|33862093:p00413:c03:split-1|34196069:p00317:c03:split-1
raw-c091,558,118,118,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3168,cancelled summary list nature maintained reflect following added af planned scope actions,33786588:p00273:c03:split-1|33822742:p00400:c14:split-1|33191006:p00358:c03:split-1|34049907:p00322:c02:split-1|32159893:p00400:c06:split-1
raw-c120,549,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4538,interviews drawing qualitative lessons centered learned iterative draw tailored methodology adapted taking,34429409:p00117:c07:split-1|34049898:p00564:c04:split-1|31866361:p00410:c02:split-1|33421881:p00368:c03:split-1|34228623:p00224:c07:split-1
raw-c064,545,86,86,Provide emergency connectivity to displaced populations in humanitarian settings,digital_for_resilience,0.3388,bordering atlantic square afar monrovia coast ocean coastline port landlocked bangui kosrae,33191006:p00128:c01:split-1|31167658:p00117:c10:split-1|34194833:p00165:c02:split-1|33753850:p00274:c02:split-1|34338772:p00127:c04:split-1
raw-c242,544,81,81,Establish disaster recovery sites and government cloud resilience for continuity of digital services,resilience_of_asset,0.5503,whole transforming moving digitize blocks transformation lay foundations digitizing digitization agenda roadmap,31338295:p00151:c02:split-1|33753850:p00254:c09:split-1|32093931:p00145:c02:split-1|33602788:p00265:c04:split-1|33118666:p00254:c10:split-1
raw-c035,539,71,71,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.6461,withstand warnings pandemics induced shocks disasters warning climatic flood resilience aftermath recover,34338772:p00765:c04:split-1|40087727:p00188:c03:split-1|33107441:p00153:c13:split-1|31866361:p00158:c05:split-1|40072597:p00185:c04:split-1
raw-c227,538,104,104,Design Cat DDO trigger mechanisms linked to digital connectivity and data infrastructure,digital_for_resilience,0.3237,mentioned introduced built intended generated described created designed shown deployed used developed,34022655:p00480:c11:split-1|40087727:p00209:c06:split-1|34049907:p00525:c12:split-1|33107441:p00173:c19:split-1|33830968:p00262:c22:split-1
raw-c110,525,93,93,Address algorithmic accountability in emergency resource allocation systems,resilience_of_asset,0.3810,ofag unqualified oag supreme observations auditor opinion opinions auditors audit overdue auditing,31167658:p00450:c01:split-1|33191006:p00433:c13:split-1|34196069:p00316:c07:split-1|33786588:p00475:c09:split-1|33786588:p00371:c06:split-1
raw-c021,521,85,85,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.5018,ethics notices observe expressions approaching thresholds paragraph procuring notice publish bidders bids,33421881:p00310:c01:split-1|33421881:p00233:c01:split-1|33813209:p00328:c02:split-1|34196134:p00232:c01:split-1|33835348:p00316:c01:split-1
raw-c127,521,104,104,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3630,subcomponents aims seek aim seeks designed developed covered help implemented three two,31167658:p00239:c01:split-1|33107441:p00598:c01:split-1|32971756:p00187:c01:split-1|32093931:p00196:c01:split-1|32093931:p00194:c01:split-1
raw-c183,512,77,77,Deploy rapid digital household welfare tracking for post-disaster needs assessment,digital_for_resilience,0.3511,eicv gini headcount geostat ranking notre dame ranks ranked fertility score index,34228623:p00129:c06:split-1|33191006:p00120:c08:split-1|32626249:p00445:c11:split-1|34022655:p00143:c13:split-1|33844146:p00120:c11:split-1
raw-c152,511,82,82,Deploy smart grid and digital energy management systems for resilient power supply,resilience_of_asset,0.5222,digitalize transformation digitized technologies digitalized digitalization solutions tools platforms adopt leveraging leverage,33753850:p00205:c05:split-1|40100544:p00142:c09:split-1|33753850:p00282:c03:split-1|33835349:p00233:c04:split-1|34460895:p00097:c06:split-1
raw-c116,509,105,105,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,digital_for_resilience,0.2699,expected likely continue able seek planned reviewed updated need require now designed,32093931:p00228:c02:split-1|31338295:p00160:c11:split-1|33822742:p00372:c05:split-1|34131348:p00320:c24:split-1|31338295:p00195:c04:split-1
raw-c236,505,101,101,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4700,ehsgs esms ess1 ehs ess5 ess2 esmf esia ess esmp salient escp,34192090:p00047:c01:split-1|33107441:p00280:c03:split-1|34350724:p00051:c33:split-1|33706639:p00402:c03:split-1|33053299:p00186:c18:split-1
raw-c209,497,82,82,Monitor climate vulnerability of digital infrastructure using geospatial and climate projection data,resilience_of_asset,0.6489,coverings waterproof screened screening geophysical adaptation resistant designs climate hazards heat considerations,34222788:p00170:c09:split-1|34196134:p00162:c07:split-1|34394311:p00192:c12:split-1|34394311:p00338:c11:split-1|34222788:p00171:c10:split-1
raw-c069,493,118,118,Develop sovereign cloud and data residency policies for government continuity,resilience_of_asset,0.4675,decided cabinet affairs elections prime assembly gou appointed president minister decree parliament,33191006:p00168:c10:split-1|34325711:p00026:c07:split-1|32527137:p00420:c08:split-1|32093931:p00307:c09:split-1|33191006:p00243:c04:split-1
raw-c018,489,73,73,Design digital inclusion safeguards ensuring crisis response reaches populations without connectivity or devices,resilience_of_asset,0.5092,digitalizing digitalize usability digitalized centric digitally centered digitized deliver transactional digitalization transform,33985963:p00285:c16:split-1|33985963:p00267:c09:split-1|40100544:p00111:c14:split-1|33107441:p00159:c04:split-1|33985963:p00315:c04:split-1
raw-c046,489,73,73,Provide emergency connectivity to displaced populations in humanitarian settings,digital_for_resilience,0.4886,subscribe subscriptions subscribers subscriber gsma endline download penetration inhabitants cri subscription mbps,40045816:p00400:c18:split-1|33937854:p00172:c02:split-1|33602788:p00150:c04:split-1|33815663:p00146:c02:split-1|33844146:p00135:c05:split-1
raw-c288,489,90,90,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4974,proposers bidder winning tendered rfp advantageous bidders tendering bid auctions bids tenders,34022655:p00362:c10:split-1|32971756:p00248:c05:split-1|33815663:p00222:c08:split-1|33937854:p00181:c12:split-1|33830968:p00413:c01:split-1
raw-c277,486,82,82,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4675,spds borrowers quotations edition gpn ipf notice arrange undb regulations governed accordance,33191006:p00449:c01:split-1|33830968:p00312:c01:split-1|34022655:p00456:c02:split-1|32093931:p00377:c01:split-1|33830968:p00422:c07:split-1
raw-c204,484,115,115,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.5342,p174461 p171034 p177158 p171099 p173373 p160418 p176181 p176126 p174946 de4a casa p176932,33835348:p00166:c01:split-1|34049907:p00180:c01:split-1|34388773:p00136:c08:split-1|33602788:p00177:c01:split-1|33815663:p00179:c01:split-1
raw-c044,483,90,90,Build digital coordination platforms for multi-agency emergency response and aid logistics,digital_for_resilience,0.4278,secretaries moi representatives moh ministers moha prime interior chair chaired minister composed,40080119:p00164:c03:split-1|40081960:p00161:c06:split-1|33786588:p00394:c14:split-1|34212364:p00059:c06:split-1|33815663:p00298:c01:split-1
raw-c270,483,84,84,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,digital_for_resilience,0.3858,chair tcs chaired week twg representative cpcc designate psc tc secretary appointed,40083718:p00108:c07:split-1|34228623:p00228:c01:split-1|33985963:p00295:c09:split-1|33822742:p00231:c05:split-1|32093931:p00239:c02:split-1
raw-c271,480,89,89,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.5111,regulatory frameworks legal enforcement laws legislation legislative regulation drafting pakistan reforms harmonization,40013198:p00158:c06:split-1|32108178:p00159:c02:split-1|32093931:p00160:c02:split-1|33813209:p00325:c07:split-1|40115517:p00046:c03:split-1
raw-c192,478,86,86,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4128,attention study paid involve incorporate seek developed designed survey help prepare campaigns,32971756:p00496:c06:split-1|33844146:p00278:c01:split-1|33937854:p00178:c05:split-1|34196069:p00394:c15:split-1|33786588:p00288:c07:split-1
raw-c022,474,96,96,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3155,inability little difficult unable cannot limiting ability challenge limit constraints resulting delays,34201758:p00257:c06:split-1|40110522:p00053:c19:split-1|33345981:p00151:c24:split-1|34460895:p00202:c04:split-1|34338772:p00112:c15:split-1
raw-c023,474,110,110,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4376,replenishment refund disbursements disburse reimbursements withdrawal advances paid transferred da reimbursement method,32971756:p00416:c10:split-1|32971756:p00416:c08:split-1|33753850:p00338:c01:split-1|40100544:p00206:c10:split-1|33421881:p00305:c01:split-1
raw-c260,469,85,85,Establish regional frameworks for cross-border digital resilience cooperation,resilience_of_asset,0.5111,collaborate sdm coordinate continental regionally harmonized coordinated member coordination recs harmonization coordinating,33830968:p00279:c02:split-1|34428613:p00263:c10:split-1|32321387:p00274:c08:split-1|33753850:p00233:c03:split-1|31889872:p00195:c12:split-1
raw-c105,465,94,94,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3350,lesson earlier assumptions noted factors lessons another instance important furthermore studies addition,32108178:p00261:c03:split-1|34103719:p00041:c10:split-1|33602788:p00493:c07:split-1|40017533:p00131:c07:split-1|33830968:p00261:c13:split-1
raw-c129,465,66,66,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.5159,incubators incubation agritech hubs accelerator esos angel startup tech ites startups outsourcing,40072597:p00152:c02:split-1|33786588:p00169:c07:split-1|34338772:p00186:c02:split-1|34310682:p00127:c22:split-1|40072597:p00123:c13:split-1
raw-c145,457,100,100,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.5103,subcomponents participants focuses entrepreneurship smes enablers environment enabling stimulate ups skills literacy,40099485:p00039:c02:split-1|40100544:p00151:c03:split-1|33345981:p00210:c03:split-1|33107441:p00221:c11:split-1|34022655:p00359:c10:split-1
raw-c168,455,75,75,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.4251,tribunal books chart accountant statements accounting segregation combating accounts audit auditor maintained,31338295:p00347:c14:split-1|31338295:p00353:c02:split-1|34394311:p00286:c06:split-1|32527137:p00365:c03:split-1|34194833:p00327:c06:split-1
raw-c221,455,54,54,Establish regional frameworks for cross-border digital resilience cooperation,resilience_of_asset,0.4793,subregional recs rec ecowas igad comesa eac saa continental gambia waemu bissau,34022655:p00379:c14:split-1|34022655:p00172:c17:split-1|40078552:p00034:c05:split-1|40087727:p00154:c03:split-1|40087727:p00099:c06:split-1
raw-c063,453,88,88,Upgrade and harden government data centers for disaster resilience,resilience_of_asset,0.4593,house capacity capacities strengthen build building actors institutional sufficient strengthening strengthened enhance,34049907:p00461:c11:split-1|31747152:p00288:c03:split-1|34388773:p00208:c10:split-1|33822742:p00170:c11:split-1|34327188:p00197:c23:split-1
raw-c180,450,90,90,Incorporate resilience standards and climate screening in telecom infrastructure procurement,resilience_of_asset,0.4554,officers kfsu advisor officer consultant specialist ciu staffed senior secti afap assistant,33830968:p00425:c04:split-1|33835348:p00318:c07:split-1|34196069:p00447:c05:split-1|40039972:p00040:c02:split-1|40080396:p00053:c02:split-1
raw-c196,447,95,95,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4980,fran aise p169945 apl2 p111432 ascent p094103 afdb dpf warcip afd veloppement,31167658:p00330:c11:split-1|33191006:p00245:c05:split-1|34228623:p00188:c10:split-1|31747152:p00258:c05:split-1|33867703:p00024:c02:split-1
raw-c104,446,105,105,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.4155,smooth oversee accurate timely manage undertake objectives assist guidance align monitor day,33118666:p00420:c06:split-1|32626249:p00197:c05:split-1|33706639:p00572:c02:split-1|33118666:p00319:c10:split-1|32626249:p00342:c03:split-1
raw-c006,444,62,62,Develop national fiber pooling and open access policies for resilient connectivity,resilience_of_asset,0.6084,tower nofbi operators isps incumbent commercially operator mnos auctions viable subsidy capex,33815663:p00235:c10:split-1|32626249:p00191:c06:split-1|31866361:p00174:c08:split-1|33118666:p00281:c03:split-1|34394311:p00183:c09:split-1
raw-c144,443,89,89,Establish data protection and consent protocols for beneficiary registries used in emergency disbursements,resilience_of_asset,0.4231,sanction anticorruption satisfy directive limitation combating anti tor acceptable familiar inspection corruption,31338295:p00338:c10:split-1|40072597:p00195:c02:split-1|33862093:p00385:c09:split-1|33191006:p00325:c08:split-1|34228623:p00260:c07:split-1
raw-c232,443,71,71,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.4842,employability career placement curricula mentorship equip learn learning courses curriculum competencies graduates,34228623:p00192:c12:split-1|33421881:p00369:c02:split-1|34228623:p00201:c03:split-1|34196134:p00192:c10:split-1|34228623:p00224:c06:split-1
