paragraph_id,stratum,hand_measure_count,basis
34338772:p00680,annex_bullet,5,standard adoption; technology choice among three media; hazard-resistant cable; protection of passive plant; elevation of towers
33602788:p00474,annex_list,6,next-generation readiness and device regulation; spectrum policy; infrastructure sharing costing; content regulation; climate-smart infrastructure policy; gender-disaggregated industry data
33602788:p00497,annex_list,3,training for senior officials; training for government IT staff; change-management and awareness support
33602788:p00473,annex_list,3,enabling legal and regulatory support and capacity building; quality-of-service monitoring and systems; number portability and systems
31167658:p00620,annex_activity,1,develop and implement applications for climate-smart farming
31167658:p00616,annex_list,2,recommendations for adapting and scaling farmer-facing digital services; preparing new mobile application proposals
31167658:p00523,annex_short_bullet,1,modernizing agricultural information systems
31338295:p00317,annex_list,2,long-term advisory support for technical capacity; establishing governance arrangements including a delivery agency
32971756:p00518,annex_bullet,2,dedicated resources for civil society consultation; feedback-loop mechanisms for the foundational registry
33822742:p00405,annex_subcomponent,1,digitizing one hundred public services
33107441:p00488,annex_activity,2,piloting television white-space spectrum for underserved rural communities; developing policy and regulations for unused spectrum
33835348:p00198,components_list,6,analytical monitoring and evaluation tools for regulation; spectrum management improvement; quality-of-service monitoring; regulatory standards for climate-smart and energy-efficient infrastructure; market and results metrics publication; regulation of emerging technology
33862093:p00214,components,4,government hosting and storage infrastructure and network upgrades; national cloud-enabled facility; common notification and communications platform; digital adoption platforms for citizens
33753850:p00212,components_list,4,operationalize the customs platform; support and training for digital system adoption; taxpayer census using digital tools with identifier formalization; secure information exchange and interoperability frameworks
32108178:p00207,components,4,security awareness and capacity building; institutions to protect against cyber vulnerabilities; regional and national knowledge and threat sharing; harmonized data protection and privacy frameworks
32108178:p00635,annex_list,2,develop and upgrade the government hosting facility for resilience; back up centralized government data
33786588:p00199,components,4,enabling environment for a competitive broadband market; expanding broadband reach in lagging areas; ensuring security and resilience of digital services; regulatory actions and investments for universal access
33835349:p00223,components,6,facility demand analysis and design and planning; design services and feasibility studies; expanding the range of cloud services; policy and procedures framework for facilities and cloud; private partnerships for hosting; sustainable operational model for public facilities
33819612:p00269,results_framework,3,competitiveness of the broadband market; identification for in-person and online service delivery; digital technologies and data for climate resilience
33118666:p00331,results_framework,3,expand access to high-speed internet; improve efficiency of digital service delivery; strengthen digital inclusion of host communities and refugees
